name,baseCurrency,quoteCurrency,type,bid,change1h
KNC/USDT,KNC,USDT,spot,4.08,0.022344972381214228
KSHIB/USD,KSHIB,USD,spot,0.020684,0.01018965433182195
KSOS/USD,KSOS,USD,spot,0.0006945,0.016093635698610095
LEO/USD,LEO,USD,spot,5.7523,0.0010608695652173912
LINA/USD,LINA,USD,spot,0.01792,0.019908987485779295
LINK/BTC,LINK,BTC,spot,0.000292,0.011068834313386372
LINK/USD,LINK,USD,spot,11.3005,0.01644130991419972
LINK/USDT,LINK,USDT,spot,11.3005,0.016354405355618457
LOOKS/USD,LOOKS,USD,spot,1.7675,0.020199105468186408
LRC/USD,LRC,USD,spot,0.7386,0.020765781303897897
LTC/BTC,LTC,BTC,spot,0.00261875,0.004406130268199234
LTC/JPY,LTC,JPY,spot,13193.9,0.011224415498813945
LTC/USD,LTC,USD,spot,101.425,0.009203522212825232
LTC/USDT,LTC,USDT,spot,101.46,0.00935090773439443
LUA/USD,LUA,USD,spot,0.024,-0.02040816326530612
LUA/USDT,LUA,USDT,spot,0.024,0.0
LUNA/USD,LUNA,USD,spot,84.43,0.00992822966507177
LUNA/USDT,LUNA,USDT,spot,84.39,0.010169897104570471
MANA/USD,MANA,USD,spot,1.5073,0.010657550774180576
MAPS/USD,MAPS,USD,spot,0.6255,0.018733850129198967
MAPS/USDT,MAPS,USDT,spot,0.6245,0.015151515151515152
MATH/USD,MATH,USD,spot,0.2056,-0.0009689922480620155
MATH/USDT,MATH,USDT,spot,0.2057,0.0019445794846864365
MATIC/BTC,MATIC,BTC,spot,2.795e-05,0.007562117392870004
MATIC/USD,MATIC,USD,spot,1.082113,0.012026141590305016
MBS/USD,MBS,USD,spot,0.148,0.0
MCB/USD,MCB,USD,spot,3.995,0.0037546933667083854
MEDIA/USD,MEDIA,USD,spot,33.0,0.0
MER/USD,MER,USD,spot,0.1137,-0.0008787346221441124
MKR/USD,MKR,USD,spot,1486.5,0.020926243567753
MKR/USDT,MKR,USDT,spot,1483.5,0.022329096530401923
MNGO/USD,MNGO,USD,spot,0.112775,0.006919642857142857
MOB/USD,MOB,USD,spot,3.6665,0.015791660894860785
MOB/USDT,MOB,USDT,spot,3.6555,0.018718801996672214
MRNA/USD,MRNA,USD,spot,141.65,0.0030093821915383252
MSOL/USD,MSOL,USD,spot,91.575,0.01183920704845815
MSTR/USD,MSTR,USD,spot,363.75,0.014644351464435146
MTA/USD,MTA,USD,spot,0.3305,0.021439509954058193
MTA/USDT,MTA,USDT,spot,0.3295,0.009188361408882083
MTL/USD,MTL,USD,spot,2.048,0.026217228464419477
NEAR/USD,NEAR,USD,spot,11.869,0.02938117524700988
NEAR/USDT,NEAR,USDT,spot,11.868,0.02904708228561519
NEXO/USD,NEXO,USD,spot,2.20975,0.008544087491455913
NFLX/USD,NFLX,USD,spot,199.35,-0.00045002250112505623
NIO/USD,NIO,USD,spot,17.4,0.0
