name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
LTC/JPY,True,False,0.01,0.01,0.01,12866.21,13077.5,13153.01,13077.5,spot,LTC,False,JPY,,False,True,5000.0,-0.003654726268849801,0.012614415169200106,0.0,29743.0338,229.02136026,13223.7,12824.85,
LTC/USD,True,False,0.005,0.01,0.01,100.825,100.85,100.87,100.85,spot,LTC,False,USD,,False,True,5000.0,-0.0020779734811003365,0.013924496053888302,0.0009925558312655087,14000324.1474,14000324.1474,101.865,98.32,
LTC/USDT,True,False,0.005,0.01,0.01,100.82,100.855,100.86,100.855,spot,LTC,False,USDT,,False,True,5000.0,-0.001929737753587333,0.014586791408882853,0.0003967663542131627,20124430.57575,20122317.510539547,101.855,98.315,
LUA/USD,True,False,0.00025,0.1,0.1,0.024,0.024,0.02425,0.024,spot,LUA,False,USD,,False,True,500.0,0.0,-0.058823529411764705,0.0,9152.7038,9152.7038,0.0255,0.02375,
LUA/USDT,True,False,0.00025,0.1,0.1,0.0245,0.02425,0.0245,0.0245,spot,LUA,False,USDT,,False,True,500.0,0.0,-0.04854368932038835,0.0,4930.8038,4930.286065601,0.02575,0.024,
LUNA-PERP,True,False,0.001,0.1,0.1,84.14,84.131,84.132,84.132,future,,False,,LUNA,False,False,5000.0,-0.0044964028776978415,0.0156208503343876,0.00033292114524873965,351669698.6461,351669698.6461,85.345,80.503,
LUNA/USD,True,False,0.01,0.01,0.01,84.14,84.12,84.14,84.14,spot,LUNA,False,USD,,False,True,5000.0,-0.0050845453470497815,0.015202702702702704,0.0005946010227137591,24126635.7169,24126635.7169,85.24,80.5,
LUNA/USDT,True,False,0.01,0.01,0.01,84.01,84.1,84.16,84.1,spot,LUNA,False,USDT,,False,True,5000.0,-0.005439924314096499,0.015823167049160525,0.001071301035591001,4376082.013,4375622.524388635,85.22,80.55,
MANA-PERP,True,False,0.0001,1.0,1.0,1.4971,1.4967,1.4978,1.4971,future,,False,,MANA,False,False,1500.0,-0.012076019532796621,-0.029810122480720628,0.0006684045184145445,17698059.9914,17698059.9914,1.5822,1.4316,
MANA/USD,True,False,0.0001,1.0,1.0,1.4978,1.4967,1.4974,1.4974,spot,MANA,False,USD,,False,True,1500.0,-0.012073629346176683,-0.029678589942975633,0.0010696617194812142,1776898.6176,1776898.6176,1.5825,1.4322,
MAPS-PERP,True,False,0.0001,1.0,1.0,0.6254,0.6232,0.6257,0.6254,future,,False,,MAPS,False,False,500.0,-0.000479463001438389,-0.012941919191919192,0.0020829995193078032,1231105.0059,1231105.0059,0.655,0.6013,
MAPS/USD,True,False,0.0001,1.0,1.0,0.6305,0.6211,0.6276,0.6276,spot,MAPS,False,USD,,False,True,500.0,-0.0006369426751592356,-0.01460197833254828,0.0007973210014351779,29470.223,29470.223,0.6561,0.5986,
MAPS/USDT,True,False,0.0001,1.0,1.0,0.6295,0.6192,0.6286,0.6286,spot,MAPS,False,USDT,,False,True,500.0,0.00015910898965791568,-0.012566760917373547,0.002551834130781499,7838.5875,7837.7644483125,0.6572,0.6022,
MATH/USD,True,False,0.0001,0.1,0.1,0.2053,0.2048,0.2061,0.2053,spot,MATH,False,USD,,False,True,500.0,0.0019521717911176184,-0.007733204446592557,0.0,23138.19811,23138.19811,0.2074,0.2045,
MATH/USDT,True,False,0.0001,0.1,0.1,0.2061,0.2051,0.2063,0.2061,spot,MATH,False,USDT,,False,True,500.0,0.0043859649122807015,-0.0009694619486185168,0.0,24248.90974,24246.3636044773,0.2087,0.2051,
MATIC-PERP,True,False,2.5e-06,1.0,1.0,1.079065,1.0786125,1.078965,1.078965,future,,False,,MATIC,False,False,5000.0,-0.00020617362599177622,-0.026149940768319512,0.00043115438108484006,64517394.51997,64517394.51997,1.1202525,1.0359325,
MATIC/BTC,True,False,1e-08,10.0,10.0,2.801e-05,2.798e-05,2.802e-05,2.801e-05,spot,MATIC,False,BTC,,False,True,5000.0,0.00178826895565093,-0.025060911938739994,0.00035714285714285714,5.4196275,208837.326415803,2.887e-05,2.715e-05,
MATIC/USD,True,False,1e-06,10.0,10.0,1.07905,1.079014,1.079298,1.07905,spot,MATIC,False,USD,,False,True,5000.0,-1.7607771143457927e-05,-0.026356631115442224,0.00011678301715412763,20238437.5991,20238437.5991,1.121026,1.036562,
MBS/USD,True,False,5e-05,1.0,1.0,0.1484,0.148,0.1484,0.1484,spot,MBS,False,USD,,False,True,500.0,0.0,-0.01949124545754873,0.0,69859.02385,69859.02385,0.1655,0.148,
MCB-PERP,True,False,0.005,0.01,0.01,4.005,3.98,4.005,4.005,future,,False,,MCB,False,False,500.0,0.00125,0.01649746192893401,0.0,16646.4402,16646.4402,4.005,3.94,
MCB/USD,True,False,0.005,0.01,0.01,4.015,4.005,4.02,4.015,spot,MCB,False,USD,,False,True,500.0,0.0,0.015170670037926675,0.0,11773.62735,11773.62735,4.035,3.94,
MEDIA-PERP,True,False,0.1,0.01,0.01,33.1,33.1,33.2,33.1,future,,False,,MEDIA,False,False,500.0,0.0,0.0,0.0,21406.335,21406.335,33.2,33.0,
MEDIA/USD,True,False,0.1,0.01,0.01,33.2,32.9,33.2,33.2,spot,MEDIA,False,USD,,False,True,500.0,0.0,0.0030211480362537764,0.0,2167.422,2167.422,33.3,32.9,
MER-PERP,True,False,0.0001,1.0,1.0,0.1136,0.1136,0.1138,0.1136,future,,False,,MER,False,False,500.0,0.0,-0.024054982817869417,0.0,66115.302,66115.302,0.1182,0.1134,
MER/USD,True,False,0.0001,1.0,1.0,0.1137,0.1137,0.1139,0.1137,spot,MER,False,USD,,False,True,500.0,0.0,-0.02570694087403599,0.0,26211.5218,26211.5218,0.1167,0.1137,
MID-PERP,True,False,0.1,0.001,0.001,2252.1,2249.4,2252.1,2252.1,future,,False,,MID,False,False,500.0,-0.0023920265780730896,-0.01907748595322096,0.0,691306.3428,691306.3428,2314.3,2199.5,
